family,size_parameter,represented_nodes,schedule,beta,mae,max_state_error_all_steps,max_state_error_final
path_copies,100000000000000000000,300000000000000000000,coefficient_1.5,70.72547122282353,0.3333282678390628,4.440892098500626e-16,4.440892098500626e-16
path_copies,100000000000000000000,300000000000000000000,coefficient_1.9,89.58559688224314,0.28027451818307975,3.521557695165138e-20,3.521557695165138e-20
path_copies,100000000000000000000,300000000000000000000,coefficient_2.0,94.30062829709804,0.11111111111111131,3.3333333333333385e-21,3.3333333333333385e-21
path_copies,100000000000000000000,300000000000000000000,coefficient_2.1,99.01565971195295,0.015062954447804774,3.1551694088005304e-22,3.1551694088005304e-22
path_copies,100000000000000000000,300000000000000000000,coefficient_2.5,117.87578537137256,1.2663879981703967e-06,2.5327856188386422e-26,2.5327856188386422e-26
path_copies,100000000000000000000,300000000000000000000,coefficient_3.0,141.45094244564706,9.622524999031157e-12,1.924500897298764e-31,1.924500897298764e-31
path_copies,10000000000000000000000000000000000000000,30000000000000000000000000000000000000000,fixed_4,4.0,0.250961220422195,0.3613372197192428,0.3613372197192428
path_copies,10000000000000000000000000000000000000000,30000000000000000000000000000000000000000,fixed_8,8.0,0.28437333416972715,0.027429300694919154,0.027429300694919154
path_copies,10000000000000000000000000000000000000000,30000000000000000000000000000000000000000,fixed_12,12.0,0.3233363356234302,0.0027021935296771067,0.0027021935296771067
path_copies,10000000000000000000000000000000000000000,30000000000000000000000000000000000000000,fixed_20,20.0,0.33303055768050394,4.552168962189536e-05,4.552168962189536e-05
path_copies,10000000000000000000000000000000000000000,30000000000000000000000000000000000000000,fixed_100,100.0,0.3333333333333333,1.9287498479639178e-22,1.9287498479639178e-22
path_copies,10000000000000000000000000000000000000000,30000000000000000000000000000000000000000,coefficient_1.5,139.8030240126449,0.33333333328267756,4.386913376508327e-31,4.386913376508327e-31
path_copies,10000000000000000000000000000000000000000,30000000000000000000000000000000000000000,coefficient_1.9,177.08383041601687,0.327140236140582,3.5215576951651516e-39,3.5215576951651516e-39
path_copies,10000000000000000000000000000000000000000,30000000000000000000000000000000000000000,coefficient_2.0,186.40403201685987,0.11111111111111116,3.333333333333336e-41,3.333333333333336e-41
path_copies,10000000000000000000000000000000000000000,30000000000000000000000000000000000000000,coefficient_2.1,195.72423361770288,0.001570153553710633,3.1551694088005134e-43,3.1551694088005134e-43
path_copies,10000000000000000000000000000000000000000,30000000000000000000000000000000000000000,coefficient_2.5,233.00504002107485,1.266394396755762e-11,2.5327856188386353e-51,2.5327856188386353e-51
path_copies,10000000000000000000000000000000000000000,30000000000000000000000000000000000000000,coefficient_3.0,279.6060480252898,0.0,1.9245008972987684e-61,1.9245008972987684e-61
path_copies,100000000000000000000000000000000000000000000000000000000000000000000000000000000,300000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_4,4.0,0.250961220422195,0.3613372197192428,0.3613372197192428
path_copies,100000000000000000000000000000000000000000000000000000000000000000000000000000000,300000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_8,8.0,0.28437333416972715,0.027429300694919154,0.027429300694919154
path_copies,100000000000000000000000000000000000000000000000000000000000000000000000000000000,300000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_12,12.0,0.3233363356234302,0.0027021935296771067,0.0027021935296771067
path_copies,100000000000000000000000000000000000000000000000000000000000000000000000000000000,300000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_20,20.0,0.3330305576805039,4.552168962189536e-05,4.552168962189536e-05
path_copies,100000000000000000000000000000000000000000000000000000000000000000000000000000000,300000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_100,100.0,0.3333333333333333,1.9287498479639178e-22,1.9287498479639178e-22
path_copies,100000000000000000000000000000000000000000000000000000000000000000000000000000000,300000000000000000000000000000000000000000000000000000000000000000000000000000000,coefficient_1.5,277.95812959228766,0.3333333333333333,4.3869133765082747e-61,4.3869133765082747e-61
